report_number,significant,location_latitude,location_longitude
20100001,false,41.94352,-88.23353
20100002,false,37.10847,-100.80037
20100003,true,32.22471,-101.4044
20100004,false,40.6086,-74.2399
20100005,false,31.13284,-101.18974
20100006,false,47.71696,-117.35583
20100007,true,41.21235,-95.8301
20100008,true,36.6659,-97.8846
20100009,true,32.4785,-94.8679
20100010,false,35.48354,-80.7357
20100011,false,47.68857,-95.41732
20100012,false,30.16801,-93.34001
20100013,true,39.36359,-93.45965
20100014,true,32.48325,-94.83034
20100015,false,30.17319,-90.78774
20100016,true,38.6707,-97.78123
20100017,true,29.47,-90.25444
20100018,false,29.8916,-93.9897
20100019,false,32.652,-103.1393
20100020,false,28.10406,-90.79238
20100021,true,48.99555,-97.52554
20100022,false,32.48248,-94.8391
20100023,false,32.06839,-96.47081
20100024,false,29.71478,-95.17611
20100025,false,30.1724,-90.782
20100026,true,35.94466,-96.75427
20100027,false,35.68463,-101.35898
20100028,true,38.1337,-85.5012
20100030,true,33.58266,-96.64881
20100031,false,39.0081,-104.01317
20100032,false,37.80218,-96.90935
20100034,false,46.68889,-92.05972
20100035,true,43.29183,-95.15157
20100036,false,39.13776,-94.5968
20100037,true,36.39836,-96.74622
20100038,false,30.1824,-93.3524
20100039,false,32.52582,-94.86381
20100040,false,30.54741,-90.16677
20100041,false,35.95885,-96.75655
20100042,true,38.5997,-121.4483
20100043,false,32.07267,-98.46948
20100044,true,41.5569,-87.8861
20100045,true,28.68555,-91.04555
20100046,false,30.71121,-91.28349
20100048,true,35.01937,-119.06305
20100049,false,35.93985,-96.75629
20100050,false,30.241,-93.27546
20100051,true,29.39972,-94.96417
20100052,true,37.15778,-78.835
20100054,true,39.91934,-75.20447
20100055,false,30.15957,-93.33989
20100056,false,36.13252,-96.02906
20100057,false,42.38229,-78.91763
20100058,true,39.46308,-92.87136
20100059,true,41.1784,-87.8504
20100060,false,32.06374,-97.81895
20100061,true,39.13844,-94.60013
20100062,false,32.5375,-100.8377
20100063,true,39.64343,-94.61827
20100064,false,38.63064,-93.39656
20100065,false,35.42148,-96.14583
20100066,true,29.2564,-89.1883
20100067,false,29.7169,-95.2364
20100068,false,36.5746,-90.1886
20100069,false,35.76698,-84.36458
20100070,true,39.02601,-85.85146
20100071,false,38.32113,-87.34782
20100072,false,38.32113,-87.34782
