"REPORT_NUMBER"	"REPORT_RECEIVED_DATE"	"NAME"	"SIGNIFICANT"	"LOCATION_LATITUDE"	"LOCATION_LONGITUDE"	"NARRATIVE"
20100001	"3/10/2010"	"MAGELLAN PIPELINE COMPANY, LP"	"NO"	41.94352	-88.23353	""
20100002	"3/16/2010"	"CHAPARRAL ENERGY, LLC"	"NO"	37.10847	-100.80037	"AT 11:50 AM ON THE MORNING OF MARCH 1, 2010 A CHAPARRAL ENERGY, LLC OPERATOR WORKING ON THE GROUNDS OF THE CHAPARRAL ENERGY ARKALON CO2 PLANT LOCATED IN HAYNE, KS HEARD VENTING CO2.  THE EMPLOYEE PROCEEDED IMMEDIATELY TO INVESTIGATE THE CAUSE OF THE RELEASE AND FOUND THAT THE RELIEF VALVE ON THE CHAPARRAL ENERGY OPERATED HAYNE-BOOKER CO2 PIPELINE HAD RELIEVED AND THAT THE PIPE BELOW THE VALVE HAD FAILED CAUSING DAMAGE TO THE RELIEF SYSTEM.  AT 11:51AM THE OPERATOR BEGAN SHUTTING DOWN THE CO2 PIPELINE, THE LINE WAS SHUT DOWN BY 11:55AM. INTERNAL INVESTIGATION OF THE ACCIDENT DETERMINED THAT THE FAILURE AND SUBSEQUENT LEAK OCCURRED DUE TO A DESIGN FLAW IN THE SUPPORT FOR THE RELIEF VALVE.  THERE WAS NO OPERATOR/CONTROLLER ISSUES INVOLVED IN THE CAUSE OF THE INCIDENT. THE RELIEF VALVE SUPPORT HAS BEEN REDESIGNED TO ELIMINATE THE POSSIBILITY OF FUTURE REOCCURRENCES.  THIS PROCESS HAS BEEN REPEATED ON ALL RELIEF VALVES ASSOCIATED WITH THIS LINE.  THE NEW DESIGN HAS BEEN INCORPORATED INTO THE COMPANY DESIGN STANDARD TO PREVENT SIMILAR OCCURRENCES ON FUTURE LINES. REPAIRS WERE COMPLETED ON MARCH 5, 2010.  STARTUP OF THE LINE COMPLETED AT 2:00PM ON MARCH 5."
20100003	"3/17/2010"	"LDH ENERGY PIPELINE L.P."	"YES"	32.22471	-101.4044	"LEAK DISCOVERED BY CONTRACTOR WORKING FOR ANOTHER COMPANY, PIPELINE OPERATOR DISPATCHED TO LOCATION, LEAK CONFIRMED, PIPELINE ISOLATED, AREA MADE SAFE AND RESPONSE/REPAIR CREWS DISPATCED TO LOCATION, PIPELINE STOPPLED OFF, PERMANENT REPAIRS MADE BY REPLACING DAMAGED SECTION WITH NEW TESTED PIPE.  ALL AGENCY NOTIFICATIONS MADE IN ACCORDANCE WITH REGULATORY REGULATIONS AND COMPANY PROCEDURES.  REPAIRS COMPLETED, PIPELINE RESUMED NORMAL OPERATIONS."
20100004	"3/18/2010"	"BUCKEYE PARTNERS, LP"	"NO"	40.6086	-74.2399	"AT 6:50 AM ON FEBRUARY 19, 2010, BUCKEYE PERSONNEL DISCOVERED JET FUEL LEAKING FROM A FLOW SWITCH ON THE 607 SYSTEM BOOSTER PUMP. THE LINE WAS SHUT DOWN IMMEDIATELY AND EMERGENCY RESPONSE PROCEDURES WERE INITIATED. PROPER NOTIFICATIONS WERE MADE TO OUTSIDE AGENCIES. THE PRODUCT WAS CONTAINED ON BUCKEYE﾿S PROPERTY AND CLEANED UP. THE RELEASE WAS CAUSED BY A WORN SEAL IN THE FLOW SWITCH. THE FLOW SWITCH WAS REPLACED AND THE LINE WAS RETURNED TO SERVICE. NO FURTHER ACTION IS NECESSARY. SUPPLEMENTAL/FINAL REPORT FILED TO POPULATE FIELD E5.F"
20100005	"3/18/2010"	"PLAINS PIPELINE, L.P."	"NO"	31.13284	-101.18974	"INTERNAL CORROSION ON 10-INCH PIPELINE RESULTED IN RELEASE OF CRUDE OIL.  SPILL IMPACTED AN AREA MEASURING 20' X 30' X 7'.  DID NOT OCCUR ON ROAD, WATER, OR DITCH.  IMPACTED SOILS WERE EXCAVATED AND REMEDIATED ON-SITE.  PIPELINE WAS INACTIVE AND UPON CLEANUP ACTIVITIES, THIS SEGMENT OF THE PIPE WAS REMOVED ENTIRELY."
20100006	"3/19/2010"	"CONOCOPHILLIPS"	"NO"	47.71696	-117.35583	"ON FEBRUARY 22, 2010 OPERATOR LINED UP YPL 10: TO PUMP DIESEL TO THE YPL 8: TRANSFER LINE  AT THE NORTH SPOKANE TANK FARM  FROM TK #96 TO THE HOLLY ENERGY TERMINAL. THEY STARTED PUMPING  AT 10:56 AM.  UPON DISCOVERING THE LEAK THEY CLOSED THE BLEEDER VALVE THAT WAS RELEASING PRODUCT FROM  MOV 502 AT 11:25 AM STOPPING THE RELEASE. UPON INVESTIGATION THERE WAS A FERREL TUBE FITTING AND PLUG   ASSEMBLY FOUND ON THE GROUND IN ONE PIECE. THE FERREL WAS INSTALLED WRONG (NOT COMPRESSED) ON THE BLEEDER TUBING.  THE VALVE WAS OPEN APPROXIMATELY ﾽ OF ONE TURN ALLOWING PRODUCT TO FLOW THROUGH THE TUBING   THE FERREL ASSEMBLY POPPED OFF WHEN THE INCREASED PRESSURE HIT THIS FITTING. UPDATED PER BLAINE KEENER E-MAIL DUE TO CHANGES IN PHMSA REPORTING FORM."
20100007	"3/19/2010"	"ONEOK NGL PIPELINE LP"	"YES"	41.21235	-95.8301	"WHILE ATTEMPTING TO MAKE UNLEADED GASOLINE DELIVERY TO THE STATION, THE FLOW METER DID NOT INDICATE PRODUCT FLOW TO THE PIPELINE CONTROL CENTER.  FIELD PERSONNEL WERE CALLED TO INVESTIGATE THE OPERATION OF THE FLOW METER.  UPON ARRIVAL AT STATION FIELD REPRESENTATIVE OBSERVED PRODUCT FLOWING OUT OF A ﾽ INCH STRAINER BLEEDER VALVE ONTO THE GROUND.  THE VALVE WAS IMMEDIATELY CLOSED.  THE STATION INLET VALVE WAS DISCOVERED TO BE CLOSED WHICH PREVENTED PRODUCT FROM BEING METERED INTO THE STATION.  AFTER AN INVESTIGATION IT WAS DETERMINED THAT BOTH VALVES HAD INADVERTENTLY BEEN LEFT IN THE WRONG POSITION DURING ROUTINE MAINTENANCE AT THE FACILITY."
20100008	"3/22/2010"	"ONEOK NGL PIPELINE LP"	"YES"	36.6659	-97.8846	"OPERATOR WAS ISOLATING PIPELINE GATHERING SYSTEM AT DELIVERY POINT WHICH REQUIRED SHUTDOWN OF INJECTION FACILITIES.  CONTROLLER FAILED TO FOLLOW SYSTEM SHUT DOWN PROCEDURES WHICH CAUSED AN OVERPRESSURE ON SECTION OF PIPELINE WHICH RESULTED IN A PIPELINE RUPTURE.  RUPTURE OCCURRED AT POINT OF A PREVIOUS MECHANICAL DAMAGE (GOUGE/DENT COMBINATION).  PROCEDURES FOR ISOLATING THE PIPELINE GATHERING SYSTEM HAVE BEEN REVIEWED AND PIPELINE CONTROLLERS HAVE BEEN RETRAINED ON PROCEDURES."
20100009	"3/22/2010"	"SUNOCO PIPELINE L.P."	"YES"	32.4785	-94.8679	"FAILURE OF AN AIR ELIMINATOR RESULTED IN OIL FLOWING INTO THE SUMP AT THOMAS STATION. FAILURE OF SUMP PUMP AUTOMATION RESULTED IN THE SUMP OVERFLOW AND THE SPILL ONTO THE GROUND AND SUBSEQUENT RUNOFF FROM OPERATOR PROPERTY. RE-SUBMITTED ON 3/20/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100010	"3/24/2010"	"COLONIAL PIPELINE CO"	"NO"	35.48354	-80.7357	"ROUTINE STATION CHECK ON 02/25/10 DISCOVERED STAINING IN VICINITY OF UNIT 1 PIPING. EXCAVATED AREA AND DISCOVERED PRODUCT SEEPING FROM TOP FLANGE OF THE CHECK VALVE BETWEEN UNIT 1 SUCTION AND DISCHARGE VALVES. FREE PRODUCT WAS ABSORBED AND CONTAMINATED SOIL EXCAVATED. THE RELEASE IMPACTED SOIL AROUND THE CIRCUMFERENCE OF THE CHECK VALVE APPROXIMATELY 2 FEET OUT AND 3 FEET DEEP. THE EXCAVATED SOIL WAS TRANSPORTED FOR TREATMENT AND DISPOSAL. THERE WERE NO IMPACTS TO SURFACE WATER OR GROUNDWATER. CHECK VALVE WAS PERMANENTLY REPAIRED BY REPLACING O-RING SEAL ON 3/1/10. ONE HALF GALLON OF FREE PRODUCT WAS RECOVERED. APPROXIMATELY 5 CUBIC YARDS OF CONTAMINATED SOIL WAS EXCAVATED. THE EXCAVATED SOIL CALCULATION REVEALED 22.47 GALLONS EQUIVALENT. THE TOTAL AMOUNT IS BELOW THE THRESHOLD FOR NORTH CAROLINA REPORTING REQUIREMENTS."
