report_num,significant,long,lat
20100001,0,-88.23353,41.94352
20100002,0,-100.80037,37.10847
20100003,1,-101.4044,32.22471
20100004,0,-74.2399,40.6086
20100005,0,-101.18974,31.13284
20100006,0,-117.35583,47.71696
20100007,1,-95.8301,41.21235
20100008,1,-97.8846,36.6659
20100009,1,-94.8679,32.4785
20100010,0,-80.7357,35.48354
20100011,0,-95.41732,47.68857
20100012,0,-93.34001,30.16801
20100013,1,-93.45965,39.36359
20100014,1,-94.83034,32.48325
20100015,0,-90.78774,30.17319
20100016,1,-97.78123,38.6707
20100017,1,-90.25444,29.47
20100018,0,-93.9897,29.8916
20100019,0,-103.1393,32.652
20100020,0,-90.79238,28.10406
20100021,1,-97.52554,48.99555
20100022,0,-94.8391,32.48248
20100023,0,-96.47081,32.06839
20100024,0,-95.17611,29.71478
20100025,0,-90.782,30.1724
20100026,1,-96.75427,35.94466
20100027,0,-101.35898,35.68463
20100028,1,-85.5012,38.1337
20100030,1,-96.64881,33.58266
20100031,0,-104.01317,39.0081
20100032,0,-96.90935,37.80218
20100034,0,-92.05972,46.68889
20100035,1,-95.15157,43.29183
20100036,0,-94.5968,39.13776
20100037,1,-96.74622,36.39836
20100038,0,-93.3524,30.1824
20100039,0,-94.86381,32.52582
20100040,0,-90.16677,30.54741
20100041,0,-96.75655,35.95885
20100042,1,-121.4483,38.5997
20100043,0,-98.46948,32.07267
20100044,1,-87.8861,41.5569
20100045,1,-91.04555,28.68555
20100046,0,-91.28349,30.71121
20100048,1,-119.06305,35.01937
20100049,0,-96.75629,35.93985
20100050,0,-93.27546,30.241
20100051,1,-94.96417,29.39972
20100052,1,-78.835,37.15778
20100054,1,-75.20447,39.91934
20100055,0,-93.33989,30.15957
20100056,0,-96.02906,36.13252
20100057,0,-78.91763,42.38229
20100058,1,-92.87136,39.46308
20100059,1,-87.8504,41.1784
20100060,0,-97.81895,32.06374
20100061,1,-94.60013,39.13844
20100062,0,-100.8377,32.5375
20100063,1,-94.61827,39.64343
20100064,0,-93.39656,38.63064
20100065,0,-96.14583,35.42148
20100066,1,-89.1883,29.2564
20100067,0,-95.2364,29.7169
20100068,0,-90.1886,36.5746
20100069,0,-84.36458,35.76698
20100070,1,-85.85146,39.02601
20100071,0,-87.34782,38.32113
20100072,0,-87.34782,38.32113
20100073,0,-94.01006,29.91232
20100074,0,-94.74432,38.88188
20100075,1,-97.62111,35.86572
20100076,0,-94.7185,32.47413
20100077,1,-94.00556,29.90083
20100078,1,-83.60071,41.80708
20100079,0,-91.27566,30.70863
20100080,0,-94.07668,29.99763
20100081,1,-93.73207,47.31006
20100082,0,-90.56593,40.16833
20100083,1,-97.4042,38.98742
20100084,0,-102.770368,46.851256
20100085,1,-93.782668,44.000221
