report_num,report_received,co_name,significant,lat,long
20100001,3/10/2010,MAGELLAN PIPELINE COMPANY LP,false,41.94352,-88.23353
20100002,3/16/2010,CHAPARRAL ENERGY LLC,false,37.10847,-100.80037
20100003,3/17/2010,LDH ENERGY PIPELINE L.P.,true,32.22471,-101.4044
20100004,3/18/2010,BUCKEYE PARTNERS LP,false,40.6086,-74.2399
20100005,3/18/2010,PLAINS PIPELINE L.P.,false,31.13284,-101.18974
20100006,3/19/2010,CONOCOPHILLIPS,false,47.71696,-117.35583
20100007,3/19/2010,ONEOK NGL PIPELINE LP,true,41.21235,-95.8301
20100008,3/22/2010,ONEOK NGL PIPELINE LP,true,36.6659,-97.8846
20100009,3/22/2010,SUNOCO PIPELINE L.P.,true,32.4785,-94.8679
20100010,3/24/2010,COLONIAL PIPELINE CO,false,35.48354,-80.7357
20100011,3/24/2010,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,false,47.68857,-95.41732
20100012,3/30/2010,COLONIAL PIPELINE CO,false,30.16801,-93.34001
20100013,3/31/2010,SINCLAIR TRANSPORTATION COMPANY,true,39.36359,-93.45965
20100014,3/31/2010,MID - VALLEY PIPELINE CO,true,32.48325,-94.83034
20100015,3/31/2010,EXXONMOBIL PIPELINE CO,false,30.17319,-90.78774
20100016,4/1/2010,ONEOK NGL PIPELINE LP,true,38.6707,-97.78123
20100017,4/1/2010,LOOP INC,true,29.47,-90.25444
20100018,4/1/2010,SHELL PIPELINE CO. L.P.,false,29.8916,-93.9897
20100019,4/1/2010,TEPPCO CRUDE PIPELINE LLC,false,32.652,-103.1393
20100020,4/2/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,28.10406,-90.79238
20100021,4/2/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,48.99555,-97.52554
20100022,4/6/2010,SUNOCO PIPELINE L.P.,false,32.48248,-94.8391
20100023,4/6/2010,SUNOCO PIPELINE L.P.,false,32.06839,-96.47081
20100024,4/7/2010,CONOCOPHILLIPS,false,29.71478,-95.17611
20100025,4/7/2010,SHELL PIPELINE CO. L.P.,false,30.1724,-90.782
20100026,4/7/2010,CONOCOPHILLIPS,true,35.94466,-96.75427
20100027,4/7/2010,CONOCOPHILLIPS,false,35.68463,-101.35898
20100028,4/8/2010,CHEVRON PRODUCTS COMPANY,true,38.1337,-85.5012
20100030,4/8/2010,PLAINS PIPELINE L.P.,true,33.58266,-96.64881
20100031,4/8/2010,MAGELLAN PIPELINE COMPANY LP,false,39.0081,-104.01317
20100032,4/8/2010,MAGELLAN PIPELINE COMPANY LP,false,37.80218,-96.90935
20100034,4/9/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,46.68889,-92.05972
20100035,4/9/2010,MAGELLAN PIPELINE COMPANY LP,true,43.29183,-95.15157
20100036,4/9/2010,MAGELLAN PIPELINE COMPANY LP,false,39.13776,-94.5968
20100037,4/12/2010,MAGELLAN AMMONIA PIPELINE L.P.,true,36.39836,-96.74622
20100038,4/12/2010,PETROLOGISTICS OLEFINS LLC,false,30.1824,-93.3524
20100039,4/12/2010,SUNOCO PIPELINE L.P.,false,32.52582,-94.86381
20100040,4/13/2010,PLANTATION PIPE LINE CO,false,30.54741,-90.16677
20100041,4/13/2010,ENBRIDGE PIPELINES (OZARK) L.L.C.,false,35.95885,-96.75655
20100042,4/14/2010,SFPP LP,true,38.5997,-121.4483
20100043,4/15/2010,SUNOCO PIPELINE L.P.,false,32.07267,-98.46948
20100044,4/16/2010,BP PIPELINE (NORTH AMERICA) INC.,true,41.5569,-87.8861
20100045,4/18/2010,WHITECAP PIPE LINE COMPANY L.L.C.,true,28.68555,-91.04555
20100046,4/19/2010,COLONIAL PIPELINE CO,false,30.71121,-91.28349
20100048,4/20/2010,PACIFIC PIPELINE SYSTEM LLC,true,35.01937,-119.06305
20100049,4/20/2010,ENBRIDGE PIPELINES (OZARK) L.L.C.,false,35.93985,-96.75629
20100050,4/20/2010,CONOCOPHILLIPS,false,30.241,-93.27546
20100051,4/21/2010,BP PIPELINE (NORTH AMERICA) INC.,true,29.39972,-94.96417
20100052,4/23/2010,COLONIAL PIPELINE CO,true,37.15778,-78.835
20100054,4/23/2010,SUNOCO INC (R&M),true,39.91934,-75.20447
20100055,4/26/2010,CONOCOPHILLIPS,false,30.15957,-93.33989
20100056,4/27/2010,MAGELLAN PIPELINE COMPANY LP,false,36.13252,-96.02906
20100057,4/28/2010,KIANTONE PIPELINE CORP,false,42.38229,-78.91763
20100058,4/28/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,39.46308,-92.87136
20100059,4/28/2010,BUCKEYE PARTNERS LP,true,41.1784,-87.8504
20100060,4/28/2010,MAGELLAN PIPELINE COMPANY LP,false,32.06374,-97.81895
20100061,4/29/2010,MAGELLAN PIPELINE COMPANY LP,true,39.13844,-94.60013
20100062,4/29/2010,PLAINS PIPELINE L.P.,false,32.5375,-100.8377
20100063,4/30/2010,KINDER MORGAN PIPELINES (USA) INC,true,39.64343,-94.61827
20100064,5/4/2010,CONOCOPHILLIPS,false,38.63064,-93.39656
20100065,5/4/2010,SUNOCO PIPELINE L.P.,false,35.42148,-96.14583
20100066,5/4/2010,CHEVRON PIPE LINE CO,true,29.2564,-89.1883
20100067,5/4/2010,HOUSTON REFINING LP.,false,29.7169,-95.2364
20100068,5/6/2010,TE PRODUCTS PIPELINE COMPANY LLC,false,36.5746,-90.1886
20100069,5/6/2010,PLANTATION PIPE LINE CO,false,35.76698,-84.36458
20100070,5/6/2010,TE PRODUCTS PIPELINE COMPANY LLC,true,39.02601,-85.85146
20100071,5/6/2010,TE PRODUCTS PIPELINE COMPANY LLC,false,38.32113,-87.34782
20100072,5/6/2010,TE PRODUCTS PIPELINE COMPANY LLC,false,38.32113,-87.34782
20100073,5/6/2010,TE PRODUCTS PIPELINE COMPANY LLC,false,29.91232,-94.01006
20100074,5/7/2010,MAGELLAN PIPELINE COMPANY LP,false,38.88188,-94.74432
20100075,5/10/2010,SUNOCO PIPELINE L.P.,true,35.86572,-97.62111
20100076,5/13/2010,EXXONMOBIL PIPELINE CO,false,32.47413,-94.7185
20100077,5/13/2010,EXPLORER PIPELINE CO,true,29.90083,-94.00556
20100078,5/14/2010,MARATHON PIPE LINE LLC,true,41.80708,-83.60071
20100079,5/14/2010,MARATHON PIPE LINE LLC,false,30.70863,-91.27566
20100080,5/14/2010,VALERO TERMINALING AND DISTRIBUTION COMPANY,false,29.99763,-94.07668
20100081,5/17/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,47.31006,-93.73207
20100082,5/17/2010,CCPS TRANSPORTATION LLC,false,40.16833,-90.56593
20100083,5/18/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,38.98742,-97.4042
20100084,5/19/2010,BELLE FOURCHE PIPELINE CO,false,46.851256,-102.770368
20100085,5/19/2010,MAGELLAN PIPELINE COMPANY LP,true,44.000221,-93.782668
20100086,5/20/2010,TESORO - HIGH PLAINS PIPELINE COMPANY,false,48.39475,-102.9138
20100087,5/20/2010,EXPLORER PIPELINE CO,false,38.82204,-90.07892
20100088,5/20/2010,COLONIAL PIPELINE CO,false,33.85651,-84.62941
20100089,5/21/2010,SHELL PIPELINE CO. L.P.,false,29.7268,-95.141
20100090,5/24/2010,TEPPCO CRUDE PIPELINE LLC,true,29.3475,-94.94167
20100091,5/24/2010,PACIFIC PIPELINE SYSTEM LLC,false,35.27901,-119.31192
20100092,5/25/2010,TEPPCO CRUDE PIPELINE LLC,false,32.611,-103.0763
20100093,5/25/2010,MARATHON PIPE LINE LLC,true,40.70942,-81.36428
20100094,5/25/2010,MAGELLAN AMMONIA PIPELINE L.P.,true,38.47623,-97.72254
20100095,5/25/2010,ONEOK NGL PIPELINE LP,true,37.81654,-97.02048
20100096,5/25/2010,CHEVRON PIPE LINE CO,false,42.51862,-114.27034
20100097,5/26/2010,PROGRESS ENERGY,true,27.86028,-82.59958
20100098,5/26/2010,MAGELLAN AMMONIA PIPELINE L.P.,false,42.45589,-95.32798
20100099,5/27/2010,BUCKEYE PARTNERS LP,false,40.6054,-74.2383
20100100,5/27/2010,KOCH PIPELINE COMPANY L.P.,false,46.8197,-95.1489
20100101,5/27/2010,PETROLOGISTICS OLEFINS LLC,false,30.19071,-91.18293
20100102,6/2/2010,HOUSTON REFINING LP.,false,29.706473,-95.2338293
20100103,6/3/2010,TEPPCO CRUDE PIPELINE LLC,true,29.34921,-94.93901
20100104,6/4/2010,EXXONMOBIL OIL CORP - WEST COAST,false,33.735001,-118.27167
20100105,6/4/2010,CALNEV PIPELINE CO,false,36.253344,-115.045311
20100106,6/7/2010,PLAINS MARKETING L.P.,false,35.93749,-96.74417
20100107,6/8/2010,JAYHAWK PIPELINE LLC,false,38.72582,-99.73018
20100108,6/9/2010,KINDER MORGAN CO2 CO. LP,false,32.47042,-102.46394
20100109,6/10/2010,SHELL PIPELINE CO. L.P.,true,30.0119001,-90.8508001
20100110,6/11/2010,COLONIAL PIPELINE CO,false,29.718767,-95.179554
20100111,6/14/2010,CONOCOPHILLIPS,false,33.07358,-98.58654
20100112,6/15/2010,PLAINS PIPELINE L.P.,false,31.42962,-102.380665
20100113,6/16/2010,BELLE FOURCHE PIPELINE CO,false,42.20753,-104.51014
20100114,6/17/2010,BUCKEYE PARTNERS LP,true,40.61428,-74.21755
20100115,6/17/2010,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,false,48.720364,-101.20851
20100116,6/18/2010,CONOCOPHILLIPS,false,39.12851,-94.60705
20100117,6/18/2010,COLONIAL PIPELINE CO,false,34.91801,-81.87401
20100118,6/18/2010,CHEVRON PIPE LINE CO,true,32.56184,-98.350678
20100119,6/21/2010,TC OIL PIPELINE OPERATIONS INC,true,44.62351,-97.92161
20100120,6/23/2010,PLAINS PIPELINE L.P.,false,32.53091,-100.83715
20100121,6/23/2010,MAGELLAN TERMINALS HOLDINGS LP,false,29.71831,-95.18038
20100122,6/23/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,29.88878,-94.84975
20100123,6/24/2010,CONOCOPHILLIPS,false,30.239547,-93.277717
20100124,6/24/2010,ALYESKA PIPELINE SERVICE CO,true,63.93074,-145.76661
20100125,6/25/2010,ROCKY MOUNTAIN PIPELINE SYSTEM LLC,false,39.800348,-104.949162
